Ligand SMILES,Target Name,Kd (nM)
CC(C)CN(C)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.56
C[C@H]1CCCN1C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.3
CC(C)(O)CNC(=O)c1nc(C(=O)N2CC(C2)C(F)(F)F)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,27.0
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)CC2)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,13.0
CC(C)N(C)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,6.1
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)(F)C2)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,18.0
CN(C1CCC1)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.43
CCN(CCOC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,44.0
CCN(C1CCC1)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,0.18
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,4.6
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)[N+]#[C-],Nuclear receptor ROR-gamma,11.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)C(N)=O,Nuclear receptor ROR-gamma,9.7
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)N[C@H]1CC11CCOCC1,Nuclear receptor ROR-gamma,3.6
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)N1C[C@@H](O)C[C@@H](O)C1,Nuclear receptor ROR-gamma,10.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC1(O)COC1,Nuclear receptor ROR-gamma,50.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NC[C@H](C)O,Nuclear receptor ROR-gamma,22.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NC[C@@H](C)O,Nuclear receptor ROR-gamma,34.0
